subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP
60550000,캐치온2,20240324165122,91,허셀프,세상의 냉혹한 현실 속에서 아이들을 지키기 위한 행복한 집 짓기가 시작된다.,해리엇 월터
61660000,캐치온2,20240324180519,0,허셀프,세상의 냉혹한 현실 속에서 아이들을 지키기 위한 행복한 집 짓기가 시작된다.,해리엇 월터
62252000,엠플렉스,20240324220100,9,리볼버,"",""
62252000,엠플렉스,20240324020900,11,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
67165000,엠플렉스,20240324223657,344,리볼버,"",""
65599000,엠플렉스,20240324022308,29,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
64159000,엠플렉스,20240324030757,8,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
62567000,엠플렉스,20240324015525,6,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
59884000,엠플렉스,20240324071609,6,마파도 2,"","이문식,여운계,김지영,김을동,김형자,길해연,이규한,남지현,김영찬,김양우"
65599000,엠플렉스,20240324021827,12,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
67165000,엠플렉스,20240324225230,185,리볼버,"",""
67304000,엠플렉스,20240324020703,5,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
60450000,엠플렉스,20240324231608,477,리볼버,"",""
60224000,엠플렉스,20240324024036,19,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
65391000,엠플렉스,20240324023901,8,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
64159000,엠플렉스,20240324063727,1140,마파도 2,"","이문식,여운계,김지영,김을동,김형자,길해연,이규한,남지현,김영찬,김양우"
64649000,엠플렉스,20240324025627,126,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
66162000,엠플렉스,20240324024755,0,하녀: 위험한 관계,"","카일리 베르조사,알버트 마르티네즈"
61702000,엠플렉스,20240324213500,5,리볼버,"",""
60715000,채널J,20240301170807,148,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서..."
66504000,채널J,20240301125242,0,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서..."
65828000,채널J,20240301120333,5,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서..."
65263000,채널J,20240301104711,7,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서..."
65697000,채널J,20240301164239,7,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서..."
60898000,채널J,20240301155805,6191,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서..."
65076000,채널J,20240301163740,426,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서..."
63089000,채널J,20240301154248,5,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서..."
60283000,아시아 M,20240301195618,3,신용문객잔,"","양가휘,임청하,장만옥"
66812000,아시아 M,20240301192501,4,신용문객잔,"","양가휘,임청하,장만옥"
66466000,아시아 M,20240301192327,4,신용문객잔,"","양가휘,임청하,장만옥"
59901000,아시아 M,20240301181237,204,신용문객잔,"","양가휘,임청하,장만옥"
60824000,아시아 M,20240301194050,2,신용문객잔,"","양가휘,임청하,장만옥"
65980000,아시아 M,20240301181500,1356,신용문객잔,"","양가휘,임청하,장만옥"
67120000,아시아 M,20240301194223,488,신용문객잔,"","양가휘,임청하,장만옥"
61263000,OCN무비즈,20240301003109,9155,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
65834000,OCN무비즈,20240301175912,7,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
65019000,OCN무비즈,20240301003306,1,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
60727000,OCN무비즈,20240301020718,8,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
61931000,OCN무비즈,20240301001905,3030,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
67120000,스포골프헬스,20240301195124,32,2024 LIV골프 제다,"",""
61135000,OCN무비즈,20240301170655,16,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
66362000,OCN무비즈,20240301004833,519,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
66974000,OCN무비즈,20240301165649,14,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
65528000,OCN무비즈,20240301173035,1897,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
64672000,OCN무비즈,20240301005914,14,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
63024000,OCN무비즈,20240301170053,172,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
62371000,OCN무비즈,20240301003129,0,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
64753000,OCN무비즈,20240301015847,7,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
65309000,OCN무비즈,20240301010459,70,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
66024000,OCN무비즈,20240301174227,869,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리"
64282000,OCN무비즈,20240301002150,7,이끼,"","유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호"
61186000,tvN스토리,20240301143736,12,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
66045000,tvN스토리,20240301180242,6,미스터 션샤인(16회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
66035000,tvN스토리,20240301155716,1,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
61625000,tvN스토리,20240301164049,6,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
65201000,tvN스토리,20240301182941,5,미스터 션샤인(16회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
66263000,tvN스토리,20240301172537,1,미스터 션샤인(16회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
65289000,tvN스토리,20240301150028,5,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
66219000,tvN스토리,20240301165739,8,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
62007000,tvN스토리,20240301171307,15,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
